yourlist:M20190514216DA2B77BFBD2E6699CA9B6D1C41EB217BE5C9	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
1aj8	Q53554	CISY_PYRFU	reviewed	Citrate synthase (EC 2.3.3.16)	gltA PF0203	Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)	377
1ajs	P00503	AATC_PIG	reviewed	Aspartate aminotransferase, cytoplasmic (cAspAT) (EC 2.6.1.1) (EC 2.6.1.3) (Cysteine aminotransferase, cytoplasmic) (Cysteine transaminase, cytoplasmic) (cCAT) (Glutamate oxaloacetate transaminase 1) (Transaminase A)	GOT1	Sus scrofa (Pig)	413
1an8	Q8NKX2	SPEC_STRP8	reviewed	Exotoxin type C (SPE C)	speC spyM18_0778	Streptococcus pyogenes serotype M18 (strain MGAS8232)	235
1ang	P03950	ANGI_HUMAN	reviewed	Angiogenin (EC 3.1.27.-) (Ribonuclease 5) (RNase 5)	ANG RNASE5	Homo sapiens (Human)	147
1aoj	Q08509	EPS8_MOUSE	reviewed	Epidermal growth factor receptor kinase substrate 8	Eps8	Mus musculus (Mouse)	821
1aoz	P37064	ASO_CUCPM	reviewed	L-ascorbate oxidase (ASO) (Ascorbase) (EC 1.10.3.3)		Cucurbita pepo var. melopepo (Zucchini)	552
1asu	O92956	POL_RSVSB	reviewed	Gag-Pol polyprotein [Cleaved into: Matrix protein p19; p2A; p2B; p10; Capsid protein p27, alternate cleaved 1; Capsid protein p27, alternate cleaved 2; p3; Nucleocapsid protein p12; Protease p15 (EC 3.4.23.-); Reverse transcriptase beta-subunit (RT-beta); Reverse transcriptase alpha-subunit (RT-alpha) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4); Integrase (IN) (EC 2.7.7.-) (EC 3.1.-.-) (pp32); p4]	gag-pol	Rous sarcoma virus (strain Schmidt-Ruppin B) (RSV-SRB)	1603
1ax0	P16404	LEC_ERYCO	reviewed	Lectin (ECorL)		Erythrina corallodendron (Coral tree)	281
1axd	P12653	GSTF1_MAIZE	reviewed	Glutathione S-transferase 1 (EC 2.5.1.18) (GST class-phi member 1) (GST-29) (GST-I)	GST1	Zea mays (Maize)	214
1ay2	P02974	FMM1_NEIGO	reviewed	Fimbrial protein (MS11 antigen) (Pilin)	pilE1	Neisseria gonorrhoeae	165
1azy	P07650	TYPH_ECOLI	reviewed	Thymidine phosphorylase (EC 2.4.2.4) (TdRPase)	deoA tpp ttg b4382 JW4345	Escherichia coli (strain K12)	440
1b0x	Q03137	EPHA4_MOUSE	reviewed	Ephrin type-A receptor 4 (EC 2.7.10.1) (Tyrosine-protein kinase receptor MPK-3) (Tyrosine-protein kinase receptor SEK-1)	Epha4 Sek Sek1	Mus musculus (Mouse)	986
1b49	P08773	DCHM_BPT4	reviewed	Deoxycytidylate 5-hydroxymethyltransferase (Deoxycytidylate hydroxymethylase) (EC 2.1.2.8) (dCMP hydroxymethylase) (dCMP HMase)	42	Enterobacteria phage T4 (Bacteriophage T4)	246
1b5o	Q56232	AAT_THET8	reviewed	Aspartate aminotransferase (AspAT) (EC 2.6.1.1) (Transaminase A)	aspC TTHA0046	Thermus thermophilus (strain HB8 / ATCC 27634 / DSM 579)	385
1b78	Q57679	IXTPA_METJA	reviewed	dITP/XTP pyrophosphatase (EC 3.6.1.66) (Hypoxanthine/xanthine dNTP pyrophosphatase) (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase) (NTPase) (Nucleotide triphosphatase)	MJ0226	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	185
1b9i	O52552	RIFK_AMYMS	reviewed	3-amino-5-hydroxybenzoate synthase (AHBA synthase) (EC 4.2.1.144) (Putative UDP-kanosamine synthase aminotransferase subunit) (EC 2.6.1.-)	rifK rifD RAM_03205 AMES_0625	Amycolatopsis mediterranei (strain S699) (Nocardia mediterranei)	388
1bbh	P00154	CYCP_ALLVD	reviewed	Cytochrome c'	cycA Alvin_2765	Allochromatium vinosum (strain ATCC 17899 / DSM 180 / NBRC 103801 / NCIMB 10441 / D) (Chromatium vinosum)	154
1bbu	P0A8N3	SYK1_ECOLI	reviewed	Lysine--tRNA ligase (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS)	lysS asuD herC b2890 JW2858	Escherichia coli (strain K12)	505
1bd9	P30086	PEBP1_HUMAN	reviewed	Phosphatidylethanolamine-binding protein 1 (PEBP-1) (HCNPpp) (Neuropolypeptide h3) (Prostatic-binding protein) (Raf kinase inhibitor protein) (RKIP) [Cleaved into: Hippocampal cholinergic neurostimulating peptide (HCNP)]	PEBP1 PBP PEBP	Homo sapiens (Human)	187
1bet	P01139	NGF_MOUSE	reviewed	Beta-nerve growth factor (Beta-NGF)	Ngf Ngfb	Mus musculus (Mouse)	241
1bg5	P08515	GST26_SCHJA	reviewed	Glutathione S-transferase class-mu 26 kDa isozyme (GST 26) (EC 2.5.1.18) (Sj26 antigen) (SjGST)		Schistosoma japonicum (Blood fluke)	218
1bhy	Q51225	Q51225_NEIME	unreviewed	Dihydrolipoyl dehydrogenase (EC 1.8.1.4)	m-6	Neisseria meningitidis	594
1bjf	P61602	NCALD_BOVIN	reviewed	Neurocalcin-delta	NCALD	Bos taurus (Bovine)	193
1bk5	Q02821	IMA1_YEAST	reviewed	Importin subunit alpha (Karyopherin subunit alpha) (Karyopherin-60) (Serine-rich RNA polymerase I suppressor protein)	SRP1 KAP60 YNL189W N1606	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	542
1bo4	Q53396	Q53396_SERMA	unreviewed	Aminoglycoside-(3)-N-acetyltransferase	aacC1	Serratia marcescens	177
1bsf	P0CI79	TYSY1_BACSU	reviewed	Thymidylate synthase 1 (TS 1) (TSase 1) (EC 2.1.1.45) (Thymidylate synthase A) (TS A) (TSase A)	thyA1 BSU17680	Bacillus subtilis (strain 168)	279
1bt4	Q59196	SERC_BACCI	reviewed	Phosphoserine aminotransferase (EC 2.6.1.52) (Phosphohydroxythreonine aminotransferase) (PSAT)	serC	Bacillus circulans	362
1buo	Q05516	ZBT16_HUMAN	reviewed	Zinc finger and BTB domain-containing protein 16 (Promyelocytic leukemia zinc finger protein) (Zinc finger protein 145) (Zinc finger protein PLZF)	ZBTB16 PLZF ZNF145	Homo sapiens (Human)	673
1c1l	P26788	LEG1_CONMY	reviewed	Congerin-1 (Beta-galactoside-binding lectin 1) (Congerin I)		Conger myriaster (Conger eel)	135
1c6o	P57736	CYC6_TETOB	reviewed	Cytochrome c6 (Cytochrome c-553) (Cytochrome c553) (Soluble cytochrome f)	petJ	Tetradesmus obliquus (Green alga) (Acutodesmus obliquus)	89
1c80	P07953	F261_RAT	reviewed	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 1 (6PF-2-K/Fru-2,6-P2ase 1) (PFK/FBPase 1) (6PF-2-K/Fru-2,6-P2ase liver isozyme) [Includes: 6-phosphofructo-2-kinase (EC 2.7.1.105); Fructose-2,6-bisphosphatase (EC 3.1.3.46)]	Pfkfb1	Rattus norvegicus (Rat)	471
1cbg	P26205	BGLT_TRIRP	reviewed	Cyanogenic beta-glucosidase (EC 3.2.1.21) (Linamarase) (Fragment)	LI	Trifolium repens (Creeping white clover)	425
1cc5	P11732	CYC5_AZOVI	reviewed	Cytochrome c5		Azotobacter vinelandii	83
1cd8	P01732	CD8A_HUMAN	reviewed	T-cell surface glycoprotein CD8 alpha chain (T-lymphocyte differentiation antigen T8/Leu-2) (CD antigen CD8a)	CD8A MAL	Homo sapiens (Human)	235
1cdc	P08921	CD2_RAT	reviewed	T-cell surface antigen CD2 (LFA-2) (LFA-3 receptor) (OX-34 antigen) (T-cell surface antigen T11/Leu-5) (CD antigen CD2)	Cd2	Rattus norvegicus (Rat)	344
1ci7	P13100	TYSY_PNECA	reviewed	Thymidylate synthase (TS) (TSase) (EC 2.1.1.45)	THYA	Pneumocystis carinii	297
1civ	P46489	MDHP_FLABI	reviewed	Malate dehydrogenase [NADP], chloroplastic (EC 1.1.1.82) (NADP-MDH)		Flaveria bidentis (Coastal plain yellowtops) (Ethulia bidentis)	453
1cm9	Q98157	VMI2_HHV8P	reviewed	Viral macrophage inflammatory protein 2 (Viral macrophage inflammatory protein II) (vMIP-II) (vMIP-1B)	ORF K4	Human herpesvirus 8 type P (isolate GK18) (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	94
1coz	P27623	TAGD_BACSU	reviewed	Glycerol-3-phosphate cytidylyltransferase (GCT) (GCTase) (Gro-PCT) (EC 2.7.7.39) (CDP-glycerol pyrophosphorylase) (Teichoic acid biosynthesis protein D)	tagD BSU35740	Bacillus subtilis (strain 168)	129
1cz3	Q60034	DYR_THEMA	reviewed	Dihydrofolate reductase (DHFR) (EC 1.5.1.3)	folA dyrA TM_1641	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	169
1d1l	P03040	RCRO_LAMBD	reviewed	Regulatory protein cro	cro lambdap57	Escherichia phage lambda (Bacteriophage lambda)	66
1d2f	P23256	MALY_ECOLI	reviewed	Protein MalY [Includes: Cystathionine beta-lyase MalY (CBL) (EC 4.4.1.13) (Beta-cystathionase MalY) (Cysteine lyase MalY) (Cysteine-S-conjugate beta-lyase MalY); Maltose regulon modulator]	malY b1622 JW1614	Escherichia coli (strain K12)	390
1d6f	P30074	CHS2_MEDSA	reviewed	Chalcone synthase 2 (EC 2.3.1.74) (Naringenin-chalcone synthase 2)	CHS2	Medicago sativa (Alfalfa)	389
1d6s	P0A1E3	CYSK_SALTY	reviewed	Cysteine synthase A (CSase A) (EC 2.5.1.47) (O-acetylserine (thiol)-lyase A) (OAS-TL A) (O-acetylserine sulfhydrylase A)	cysK STM2430	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	323
1d7y	Q52437	Q52437_PSES1	unreviewed	Ferredoxin reductase	bphA4	Pseudomonas sp. (strain KKS102)	408
1d9c	P07353	IFNG_BOVIN	reviewed	Interferon gamma (BoIFNG) (IFN-gamma)	IFNG	Bos taurus (Bovine)	166
1dak	P13000	BIOD1_ECOLI	reviewed	ATP-dependent dethiobiotin synthetase BioD 1 (EC 6.3.3.3) (DTB synthetase 1) (DTBS 1) (Dethiobiotin synthase)	bioD1 b0778 JW0761	Escherichia coli (strain K12)	225
1dap	P04964	DAPDH_CORGL	reviewed	Meso-diaminopimelate D-dehydrogenase (DAPDH) (Meso-DAP dehydrogenase) (EC 1.4.1.16)	ddh Cgl2617 cg2900	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025)	320
1dcf	P49333	ETR1_ARATH	reviewed	Ethylene receptor 1 (AtETR1) (EC 2.7.13.3) (Protein ETHYLENE RESPONSE 1) (Protein ETR1)	ETR1 At1g66340 T27F4.9	Arabidopsis thaliana (Mouse-ear cress)	738
1dhr	P11348	DHPR_RAT	reviewed	Dihydropteridine reductase (EC 1.5.1.34) (HDHPR) (Quinoid dihydropteridine reductase)	Qdpr Dhpr	Rattus norvegicus (Rat)	241
1dk4	Q57573	BSUHB_METJA	reviewed	Fructose-1,6-bisphosphatase/inositol-1-monophosphatase (FBPase/IMPase) (EC 3.1.3.11) (EC 3.1.3.25) (Inositol-1-phosphatase) (I-1-Pase)	suhB MJ0109	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	252
1doe	P20586	PHHY_PSEAE	reviewed	p-hydroxybenzoate hydroxylase (PHBH) (EC 1.14.13.2) (4-hydroxybenzoate 3-monooxygenase)	pobA PA0247	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	394
1dos	P0AB71	ALF_ECOLI	reviewed	Fructose-bisphosphate aldolase class 2 (FBP aldolase) (FBPA) (EC 4.1.2.13) (Fructose-1,6-bisphosphate aldolase) (Fructose-bisphosphate aldolase class II)	fbaA fba fda b2925 JW2892	Escherichia coli (strain K12)	359
1dqp	Q24973	Q24973_GIAIN	unreviewed	Guanine phosphoribosyltransferase		Giardia intestinalis (Giardia lamblia)	230
1dto	P03120	VE2_HPV16	reviewed	Regulatory protein E2	E2	Human papillomavirus type 16	365
1dty	P12995	BIOA_ECOLI	reviewed	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62) (7,8-diamino-pelargonic acid aminotransferase) (DAPA AT) (DAPA aminotransferase) (7,8-diaminononanoate synthase) (DANS) (Diaminopelargonic acid synthase)	bioA b0774 JW0757	Escherichia coli (strain K12)	429
1dvb	P24931	RUBY_DESVH	reviewed	Rubrerythrin (Rr)	rbr DVU_3094	Desulfovibrio vulgaris (strain Hildenborough / ATCC 29579 / DSM 644 / NCIMB 8303)	191
1dwv	P29477	NOS2_MOUSE	reviewed	Nitric oxide synthase, inducible (EC 1.14.13.39) (Inducible NO synthase) (Inducible NOS) (iNOS) (Macrophage NOS) (MAC-NOS) (NOS type II) (Peptidyl-cysteine S-nitrosylase NOS2)	Nos2 Inosl	Mus musculus (Mouse)	1144
1dxx	P11532	DMD_HUMAN	reviewed	Dystrophin	DMD	Homo sapiens (Human)	3685
1dxy	P17584	DHD2_LACPA	reviewed	D-2-hydroxyisocaproate dehydrogenase (D-HICDH) (EC 1.1.1.-)		Lactobacillus paracasei	333
1dz3	P52934	SP0A_GEOSE	reviewed	Stage 0 sporulation protein A	spo0A	Geobacillus stearothermophilus (Bacillus stearothermophilus)	259
1e3i	Q9QYY9	ADH4_MOUSE	reviewed	Alcohol dehydrogenase 4 (EC 1.1.1.1) (ADH2) (Alcohol dehydrogenase class II) (Alcohol dehydrogenase II)	Adh4	Mus musculus (Mouse)	377
1e3v	P07445	SDIS_PSEPU	reviewed	Steroid Delta-isomerase (EC 5.3.3.1) (Delta(5)-3-ketosteroid isomerase)	ksi	Pseudomonas putida (Arthrobacter siderocapsulatus)	131
1e58	P62707	GPMA_ECOLI	reviewed	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase (BPG-dependent PGAM) (PGAM) (Phosphoglyceromutase) (dPGM) (EC 5.4.2.11)	gpmA gpm pgm pgmA b0755 JW0738	Escherichia coli (strain K12)	250
1e5d	Q9F0J6	ROO_DESGG	reviewed	Rubredoxin-oxygen oxidoreductase (ROO) (Rubredoxin oxidase) (EC 1.-.-.-)	roo	Desulfovibrio gigas (strain ATCC 19364 / DSM 1382 / NCIMB 9332 / VKM B-1759)	402
1e6b	Q9ZVQ3	GSTZ1_ARATH	reviewed	Glutathione S-transferase Z1 (AtGSTZ1) (EC 2.5.1.18) (GST class-zeta member 1) (Glutathione S-transferase 18) (Maleylacetone isomerase) (MAI) (EC 5.2.1.-)	GSTZ1 GST18 GSTZ At2g02390 T16F16.18	Arabidopsis thaliana (Mouse-ear cress)	221
1e86	P00138	CYCP_ALCXX	reviewed	Cytochrome c'		Alcaligenes xylosoxydans xylosoxydans (Achromobacter xylosoxidans)	127
1e87	Q07108	CD69_HUMAN	reviewed	Early activation antigen CD69 (Activation inducer molecule) (AIM) (BL-AC/P26) (C-type lectin domain family 2 member C) (EA1) (Early T-cell activation antigen p60) (GP32/28) (Leukocyte surface antigen Leu-23) (MLR-3) (CD antigen CD69)	CD69 CLEC2C	Homo sapiens (Human)	199
1e9g	P00817	IPYR_YEAST	reviewed	Inorganic pyrophosphatase (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase) (PPase)	IPP1 PPA PPA1 YBR011C YBR0202	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	287
1eej	P0AEG6	DSBC_ECOLI	reviewed	Thiol:disulfide interchange protein DsbC	dsbC xprA b2893 JW2861	Escherichia coli (strain K12)	236
1eem	P78417	GSTO1_HUMAN	reviewed	Glutathione S-transferase omega-1 (GSTO-1) (EC 2.5.1.18) (Glutathione S-transferase omega 1-1) (GSTO 1-1) (Glutathione-dependent dehydroascorbate reductase) (EC 1.8.5.1) (Monomethylarsonic acid reductase) (MMA(V) reductase) (EC 1.20.4.2) (S-(Phenacyl)glutathione reductase) (SPG-R)	GSTO1 GSTTLP28	Homo sapiens (Human)	241
1ehi	Q03ZI1	DDL_LEUMM	reviewed	D-alanine--D-alanine ligase (EC 6.3.2.4) (D-Ala-D-Ala ligase) (D-alanylalanine synthetase)	ddl LEUM_0264	Leuconostoc mesenteroides subsp. mesenteroides (strain ATCC 8293 / NCDO 523)	377
1ei1	P0AES6	GYRB_ECOLI	reviewed	DNA gyrase subunit B (EC 5.6.2.3) (Type IIA topoisomerase subunit GyrB)	gyrB acrB cou himB hisU nalC parA pcbA b3699 JW5625	Escherichia coli (strain K12)	804
1ekf	O15382	BCAT2_HUMAN	reviewed	Branched-chain-amino-acid aminotransferase, mitochondrial (BCAT(m)) (EC 2.6.1.42) (Placental protein 18) (PP18)	BCAT2 BCATM BCT2 ECA40	Homo sapiens (Human)	392
1emd	P61889	MDH_ECOLI	reviewed	Malate dehydrogenase (EC 1.1.1.37)	mdh b3236 JW3205	Escherichia coli (strain K12)	312
1eov	P04802	SYDC_YEAST	reviewed	Aspartate--tRNA ligase, cytoplasmic (EC 6.1.1.12) (Aspartyl-tRNA synthetase) (AspRS)	DPS1 APS APS1 YLL018C L1295	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	557
1eq9	Q7SIG2	CTR1_SOLIN	reviewed	Chymotrypsin-1 (EC 3.4.21.1) (Chymotrypsin I) (Soli C1)		Solenopsis invicta (Red imported fire ant) (Solenopsis wagneri)	222
1eqt	P13501	CCL5_HUMAN	reviewed	C-C motif chemokine 5 (EoCP) (Eosinophil chemotactic cytokine) (SIS-delta) (Small-inducible cytokine A5) (T cell-specific protein P228) (TCP228) (T-cell-specific protein RANTES) [Cleaved into: RANTES(3-68); RANTES(4-68)]	CCL5 D17S136E SCYA5	Homo sapiens (Human)	91
1ert	P10599	THIO_HUMAN	reviewed	Thioredoxin (Trx) (ATL-derived factor) (ADF) (Surface-associated sulphydryl protein) (SASP)	TXN TRDX TRX TRX1	Homo sapiens (Human)	105
1ew3	Q95182	ALL1_HORSE	reviewed	Major allergen Equ c 1 (allergen Equ c 1)		Equus caballus (Horse)	187
1eyv	P9WIV1	NUSB_MYCTU	reviewed	Transcription antitermination protein NusB (Antitermination factor NusB)	nusB Rv2533c MTCY159.23	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	156
1f08	P03116	VE1_BPV1	reviewed	Replication protein E1 (EC 3.6.4.12) (ATP-dependent helicase E1)	E1	Bovine papillomavirus type 1	605
1f13	P00488	F13A_HUMAN	reviewed	Coagulation factor XIII A chain (Coagulation factor XIIIa) (EC 2.3.2.13) (Protein-glutamine gamma-glutamyltransferase A chain) (Transglutaminase A chain)	F13A1 F13A	Homo sapiens (Human)	732
1f1c	P82603	CY550_ARTMA	reviewed	Cytochrome c-550 (Cytochrome c-549) (Cytochrome c549) (Cytochrome c550) (Low-potential cytochrome c)	psbV	Arthrospira maxima (Spirulina maxima)	129
1f36	P0A6R3	FIS_ECOLI	reviewed	DNA-binding protein Fis (Factor-for-inversion stimulation protein) (Hin recombinational enhancer-binding protein)	fis b3261 JW3229	Escherichia coli (strain K12)	98
1f3b	P13745	GSTA1_MOUSE	reviewed	Glutathione S-transferase A1 (EC 2.5.1.18) (13-hydroperoxyoctadecadienoate peroxidase) (EC 1.11.1.-) (Androst-5-ene-3,17-dione isomerase) (EC 5.3.3.-) (GST class-alpha member 1) (Glutathione S-transferase Ya) (Glutathione S-transferase Ya1) [Cleaved into: Glutathione S-transferase A1, N-terminally processed]	Gsta1 Gsta Gstya	Mus musculus (Mouse)	223
1f3h	O15392	BIRC5_HUMAN	reviewed	Baculoviral IAP repeat-containing protein 5 (Apoptosis inhibitor 4) (Apoptosis inhibitor survivin)	BIRC5 API4 IAP4	Homo sapiens (Human)	142
1f5m	P36088	FRMSR_YEAST	reviewed	Free methionine-R-sulfoxide reductase (fRMsr) (EC 1.8.4.14) (GAF domain-containing protein YKL069W)	YKL069W YKL340	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	180
1f5w	P78310	CXAR_HUMAN	reviewed	Coxsackievirus and adenovirus receptor (CAR) (hCAR) (CVB3-binding protein) (Coxsackievirus B-adenovirus receptor) (HCVADR)	CXADR CAR	Homo sapiens (Human)	365
1f89	P49954	NIT3_YEAST	reviewed	Omega-amidase NIT3 (EC 3.5.1.3) (Nitrilase homolog 2)	NIT3 YLR351C L9638.5	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	291
1fa9	P06737	PYGL_HUMAN	reviewed	Glycogen phosphorylase, liver form (EC 2.4.1.1)	PYGL	Homo sapiens (Human)	847
1fc4	P0AB77	KBL_ECOLI	reviewed	2-amino-3-ketobutyrate coenzyme A ligase (AKB ligase) (EC 2.3.1.29) (Glycine acetyltransferase)	kbl b3617 JW3592	Escherichia coli (strain K12)	398
1fd9	Q5ZXE0	MIP_LEGPH	reviewed	Outer membrane protein MIP (EC 5.2.1.8) (Macrophage infectivity potentiator) (Peptidyl-prolyl cis-trans isomerase) (PPIase) (Rotamase)	mip lpg0791	Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513)	233
1fe4	O00244	ATOX1_HUMAN	reviewed	Copper transport protein ATOX1 (Metal transport protein ATX1)	ATOX1 HAH1	Homo sapiens (Human)	68
1ff5	P09803	CADH1_MOUSE	reviewed	Cadherin-1 (ARC-1) (Epithelial cadherin) (E-cadherin) (Uvomorulin) (CD antigen CD324) [Cleaved into: E-Cad/CTF1; E-Cad/CTF2; E-Cad/CTF3]	Cdh1	Mus musculus (Mouse)	884
1fg3	P06986	HIS8_ECOLI	reviewed	Histidinol-phosphate aminotransferase (EC 2.6.1.9) (Imidazole acetol-phosphate transaminase) (HPAT) (HspAT)	hisC b2021 JW2003	Escherichia coli (strain K12)	356
1fi4	P32377	MVD1_YEAST	reviewed	Diphosphomevalonate decarboxylase (EC 4.1.1.33) (Ergosterol biosynthesis protein 19) (Mevalonate pyrophosphate decarboxylase) (Mevalonate-5-diphosphate decarboxylase) (MDD) (MDDase)	MVD1 ERG19 MPD YNR043W N3427	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	396
1fk8	P80702	DIDH_COMTE	reviewed	3-alpha-hydroxysteroid dehydrogenase/carbonyl reductase (3-alpha-HSD) (EC 1.1.1.50) (3-alpha-hydroxysteroid dehydrogenase/3-oxosteroid reductase) (HSD28) (Hydroxyprostaglandin dehydrogenase)	hsdA	Comamonas testosteroni (Pseudomonas testosteroni)	257
1foc	Q5SME3	CY552_THET8	reviewed	Cytochrome c-552 (Cytochrome c552)	cycA TTHA1423	Thermus thermophilus (strain HB8 / ATCC 27634 / DSM 579)	148
1fp1	P93324	CHOMT_MEDSA	reviewed	Isoliquiritigenin 2'-O-methyltransferase (MsCHMT) (EC 2.1.1.154) (Chalcone O-methyltransferase) (ChOMT) (Licodione 2'-O-methyltransferase) (MsLMT) (EC 2.1.1.65)		Medicago sativa (Alfalfa)	372
1fp2	O24529	7OMT8_MEDSA	reviewed	Isoflavone-7-O-methyltransferase 8 (EC 2.1.1.150) (7-IOMT-8) (Isoflavone-O-methyltransferase 8)		Medicago sativa (Alfalfa)	352
1fp5	P01854	IGHE_HUMAN	reviewed	Immunoglobulin heavy constant epsilon (Ig epsilon chain C region) (Ig epsilon chain C region ND)	IGHE	Homo sapiens (Human)	428
1fux	P77368	YBCL_ECOLI	reviewed	UPF0098 protein YbcL	ybcL b0545 JW0533	Escherichia coli (strain K12)	183
1fw1	O43708	MAAI_HUMAN	reviewed	Maleylacetoacetate isomerase (MAAI) (EC 5.2.1.2) (GSTZ1-1) (Glutathione S-transferase zeta 1) (EC 2.5.1.18)	GSTZ1 MAAI	Homo sapiens (Human)	216
1fxd	P00209	FER_DESGI	reviewed	Ferredoxin-2 (Ferredoxin II) (FdII)		Desulfovibrio gigas	58
1fxr	P00210	FER1_DESAF	reviewed	Ferredoxin-1 (Ferredoxin I) (FdI)	fd1	Desulfovibrio africanus	65
1g3m	P49888	ST1E1_HUMAN	reviewed	Estrogen sulfotransferase (EC 2.8.2.4) (EST-1) (Sulfotransferase 1E1) (ST1E1) (Sulfotransferase, estrogen-preferring)	SULT1E1 STE	Homo sapiens (Human)	294
1g3s	P0DJL7	DTXR_CORDI	reviewed	Diphtheria toxin repressor (Iron-dependent diphtheria tox regulatory element) (Tox regulatory factor)	dtxR DIP1414	Corynebacterium diphtheriae (strain ATCC 700971 / NCTC 13129 / Biotype gravis)	226
1g51	P36419	SYD_THETH	reviewed	Aspartate--tRNA(Asp) ligase (EC 6.1.1.12) (Aspartyl-tRNA synthetase) (AspRS) (Discriminating aspartyl-tRNA synthetase) (D-AspRS)	aspS	Thermus thermophilus	580
