PDB ID	Symmetry group (M - monomer; Dna - dihedral with heterologous interfaces; Dns - dihedral with only isologous interfaces; Ts - tetrahedral with isologous interfaces; Ta - tetrahedral with only heterologous interfaces; O* - 4 different octahedral topologies)	Number of subunits	Number of unique subunits (ie row of the periodic table)	Included in non-redundant set	Year of release	Quaternary structure assignment (C - correct; E - error)	Quaternary structure topology index (complexes with the same index have the same reduced topology)	List of interfaces	List of interface types (all identical subunits are given the same code)	List of interface sizes (Angstroms^2)	List of interface types (I- isologous homomeric; H - heterologous homomeric; T - heteromeric)	Interfaces included in the reduced topology (1 - yes; 0 - no)	
140l	M	1	1	0	1994	C	-						
141l	M	1	1	0	1994	C	-						
142l	M	1	1	0	1994	C	-						
143l	M	1	1	0	1994	C	-						
144l	M	1	1	0	1994	C	-						
145l	M	1	1	0	1994	C	-						
146l	M	1	1	0	1994	C	-						
147l	M	1	1	0	1994	C	-						
148l	M	1	1	1	1994	C	-						
149l	M	1	1	0	1994	C	-						
14gs	C2	2	1	0	1999	C	1	A-B	A-A	2143.1	I	1	
150l	M	1	1	0	1994	-	-						
151l	M	1	1	0	1994	C	-						
152l	M	1	1	0	1994	C	-						
153l	M	1	1	0	1995	-	-						
154l	M	1	1	1	1995	-	-						
155c	M	1	1	0	1976	-	-						
155l	M	1	1	0	1994	C	-						
156l	M	1	1	0	1994	C	-						
157l	M	1	1	0	1994	C	-						
158l	M	1	1	0	1994	C	-						
159l	M	1	1	0	1994	C	-						
160l	M	1	1	0	1994	C	-						
161l	M	1	1	0	1994	C	-						
162l	M	1	1	0	1994	C	-						
163l	M	1	1	0	1994	C	-						
164l	M	1	1	0	1994	C	-						
165l	M	1	1	0	1994	C	-						
166l	M	1	1	0	1994	C	-						
167l	M	1	1	0	1995	-	-						
168l	M	1	1	0	1995	-	-						
169l	M	1	1	0	1995	-	-						
16gs	C2	2	1	0	1999	C	1	A-B	A-A	2447.4	I	1	
16pk	M	1	1	0	1998	-	-						
16vp	M	1	1	1	1999	-	-						
170l	M	1	1	0	1995	C	-						
171l	M	1	1	0	1995	C	-						
172l	M	1	1	0	1995	C	-						
173l	M	1	1	0	1995	C	-						
174l	M	1	1	0	1995	-	-						
175l	M	1	1	0	1995	-	-						
176l	M	1	1	0	1995	-	-						
177l	M	1	1	0	1995	C	-						
178l	M	1	1	0	1995	C	-						
17gs	C2	2	1	0	1998	C	1	A-B	A-A	2463.7	I	1	
180l	M	1	1	0	1996	C	-						
181l	M	1	1	0	1995	C	-						
182l	M	1	1	0	1995	C	-						
183l	M	1	1	0	1995	C	-						
184l	M	1	1	0	1995	C	-						
185l	M	1	1	0	1995	C	-						
186l	M	1	1	0	1995	C	-						
187l	M	1	1	0	1995	C	-						
188l	M	1	1	0	1995	C	-						
189l	M	1	1	0	1995	C	-						
18gs	C2	2	1	0	1999	C	1	A-B	A-A	2484.6	I	1	
190l	M	1	1	0	1995	C	-						
1914	M	1	1	1	1998	-	-						
191l	M	1	1	0	1995	C	-						
192l	M	1	1	0	1995	C	-						
193l	M	1	1	0	1995	C	-						
194l	M	1	1	0	1995	C	-						
195l	M	1	1	0	1996	C	-						
196l	M	1	1	0	1996	C	-						
197l	M	1	1	0	1996	C	-						
198l	M	1	1	0	1996	C	-						
199l	M	1	1	0	1996	C	-						
19gs	C2	2	1	0	1998	C	1	A-B	A-A	2470.1	I	1	
1a00	C2	4	2	0	1998	-	3	"A-B,A-C,A-D,B-C,C-D"	"A-D,A-A,A-D,D-A,A-D"	"1666.7,582.1,1387.7,1387.7,1666.7"	"T,I,T,T,T"	"1,0,1,1,1"	
1a01	C2	4	2	0	1998	-	3	"A-B,A-C,A-D,B-C,C-D"	"A-D,A-A,A-D,D-A,A-D"	"1715.3,570.9,1289.9,1289.9,1715.3"	"T,I,T,T,T"	"1,0,1,1,1"	
1a04	M	1	1	1	1998	-	-						
1a05	C2	2	1	0	1998	-	1	A-B	A-A	5329.6	I	1	
1a06	M	1	1	1	1998	C	-						
1a08	M	1	1	1	1998	-	-						
1a0b	M	1	1	0	1998	-	-						
1a0c	D2	4	1	0	1998	-	4	"A-B,A-C,A-D,B-C,B-D,C-D"	"A-A,A-A,A-A,A-A,A-A,A-A"	"8981.2,2804.3,4052.3,4052.3,2804.3,8981.2"	"I,I,I,I,I,I"	"1,0,1,1,0,1"	
1a0d	D2	4	1	0	1998	-	4	"A-B,A-C,A-D,B-C,B-D,C-D"	"A-A,A-A,A-A,A-A,A-A,A-A"	"8174.8,2677.8,3807.5,3807.5,2677.8,8174.8"	"I,I,I,I,I,I"	"1,0,1,1,0,1"	
1a0e	D2	4	1	1	1998	-	4	"A-B,A-C,A-D,B-C,B-D,C-D"	"A-A,A-A,A-A,A-A,A-A,A-A"	"3859.1,2861.7,8312.1,8312.1,2861.7,3859.1"	"I,I,I,I,I,I"	"1,0,1,1,0,1"	
1a0f	C2	2	1	1	1999	C	1	A-B	A-A	3389.7	I	1	
1a0g	C2	2	1	0	1998	C	1	A-B	A-A	4591.5	I	1	
1a0i	M	1	1	1	1998	-	-						
1a0k	M	1	1	0	1998	C	-						
1a0l	D2	4	1	1	1999	C	4	"A-B,A-D,B-C,C-D"	"A-A,A-A,A-A,A-A"	"437.8,685.7,685.7,437.8"	"I,I,I,I"	"1,1,1,1"	
1a0o	M	2	2	1	1998	-	2	A-B	A-B	1165	T	1	
1a0p	M	1	1	1	1998	-	-						
1a0q	M	2	2	0	1999	-	2	A-B	A-B	3117.7	T	1	
1a0r	M	3	3	0	1998	-	5	"A-B,A-C"	"A-B,A-C"	"5145.7,4365.1"	"T,T"	"1,1"	
1a0s	C3	3	1	0	1998	-	6	"A-B,A-C,B-C"	"A-A,A-A,A-A"	"3979.6,3979.6,3979.6"	"H,H,H"	"1,1,1"	
1a0t	C3	3	1	1	1998	-	6	"A-B,A-C,B-C"	"A-A,A-A,A-A"	"3963.6,3963.6,3963.6"	"H,H,H"	"1,1,1"	
1a0u	C2	4	2	0	1998	-	3	"A-B,A-C,A-D,B-C,C-D"	"A-D,A-A,A-D,D-A,A-D"	"1698.8,565.5,1375.2,1375.2,1698.8"	"T,I,T,T,T"	"1,0,1,1,1"	
1a0z	C2	4	2	0	1998	-	3	"A-B,A-C,A-D,B-C,C-D"	"A-D,A-A,A-D,D-A,A-D"	"1675.9,585.6,1405.2,1405.2,1675.9"	"T,I,T,T,T"	"1,0,1,1,1"	
1a12	C3	3	1	1	1999	-	6	"A-B,A-C,B-C"	"A-A,A-A,A-A"	"1560.9,1560.9,1560.9"	"H,H,H"	"1,1,1"	
1a15	C2	2	1	0	1998	E	1	A-B	A-A	1498.6	I	1	
1a16	D2	4	1	0	1999	C	4	"A-B,A-D,B-C,C-D"	"A-A,A-A,A-A,A-A"	"1323.3,4252.6,4252.6,1323.3"	"I,I,I,I"	"1,1,1,1"	
1a17	D2	4	1	1	1998	-	4	"A-B,A-C,A-D,B-C,B-D,C-D"	"A-A,A-A,A-A,A-A,A-A,A-A"	"537.6,4189.2,811.2,811.2,4189.2,537.6"	"I,I,I,I,I,I"	"0,1,1,1,1,0"	
1a18	C2	2	1	0	1998	E	1	A-B	A-A	798	I	1	
1a19	C2	2	1	1	1998	-	1	A-B	A-A	1046.5	I	1	
1a1m	M	2	2	0	1998	-	2	A-B	A-B	2567.4	T	1	
1a1n	M	2	2	0	1998	-	2	A-B	A-B	2557.8	T	1	
1a1o	M	2	2	0	1998	-	2	A-B	A-B	2623.7	T	1	
1a1r	M	1	1	0	1998	-	-						
1a1s	Ta	12	1	0	1998	C	7	"A-C,A-E,A-G,A-I,A-J,B-D,B-E,B-G,B-K,B-L,C-F,C-H,C-I,C-J,D-F,D-H,D-K,D-L,E-G,E-I,E-K,F-H,F-I,F-K,G-J,G-L,H-J,H-L,I-K,J-L"	"F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F"	"537.6,2052.1,1232.8,2052.1,1232.8,537.6,1232.8,2052.1,1232.8,2052.1,1232.8,2052.1,1232.8,2052.1,2052.1,1232.8,2052.1,1232.8,537.6,2052.1,1232.8,537.6,1232.8,2052.1,1232.8,2052.1,2052.1,1232.8,537.6,537.6"	"I,H,H,H,H,I,H,H,H,H,H,H,H,H,H,H,H,H,I,H,H,I,H,H,H,H,H,H,I,I"	"0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0"	
1a1x	C2	2	1	0	1998	E	1	A-B	A-A	1357.6	I	1	
1a21	M	1	1	1	1998	-	-						
1a22	M	2	2	0	1998	-	2	A-B	A-B	2715.3	T	1	
1a25	C2	2	1	0	1998	E	1	A-B	A-A	1545.1	I	1	
1a26	M	1	1	1	1998	-	-						
1a27	C2	2	1	1	1998	C	1	A-B	A-A	5156.7	I	1	
1a28	M	1	1	0	1998	-	-						
1a29	M	1	1	0	1998	C	-						
1a2a	M	1	1	0	1999	-	-						
1a2b	M	1	1	0	1998	C	-						
1a2c	M	1	1	0	1998	-	-						
1a2d	C2	2	1	0	1998	E	1	A-B	A-A	1440.9	I	1	
1a2f	M	1	1	0	1998	C	-						
1a2g	M	1	1	0	1998	C	-						
1a2j	M	1	1	1	1998	C	-						
1a2l	M	1	1	0	1998	-	-						
1a2m	M	1	1	0	1998	-	-						
1a2n	C3	3	1	0	1998	E	6	"A-B,A-C,B-C"	"A-A,A-A,A-A"	"1387.5,1387.5,1387.5"	"H,H,H"	"1,1,1"	
1a2o	M	1	1	1	1998	-	-						
1a2p	M	1	1	0	1998	-	-						
1a2q	M	1	1	0	1998	C	-						
1a2t	M	1	1	0	1998	C	-						
1a2u	M	1	1	0	1998	C	-						
1a2v	D3s	6	1	0	1998	E	8	"A-B,A-C,A-E,A-F,B-C,B-D,B-F,C-D,C-E,D-E,D-F,E-F"	"F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F"	"14063.4,462.7,462.7,1035.8,1035.8,462.7,462.7,14063.4,462.7,1035.8,462.7,14063.4"	"I,H,H,I,I,H,H,I,H,I,H,I"	"1,0,0,1,1,0,0,1,0,1,0,1"	
1a2w	C2	2	1	0	1998	C	1	A-B	A-A	3991.8	I	1	
1a2x	M	2	2	1	1998	-	2	A-B	A-B	2352.9	T	1	
1a2y	M	3	3	0	1998	-	5	"A-B,A-C,B-C"	"A-B,A-C,B-C"	"1651.0,673.8,816.7"	"T,T,T"	"1,0,1"	
1a2z	D2	4	1	1	1998	C	4	"A-B,A-C,A-D,B-C,B-D,C-D"	"A-A,A-A,A-A,A-A,A-A,A-A"	"2131.9,1815.6,678.8,678.8,1815.6,2131.9"	"I,I,I,I,I,I"	"1,1,0,0,1,1"	
1a30	C2	2	1	0	1998	C	1	A-B	A-A	3698.3	I	1	
1a32	M	1	1	1	1998	-	-						
1a33	M	1	1	0	1998	C	-						
1a37	C2	2	1	0	1999	C	1	A-C	A-A	2090.2	I	1	
1a38	C2	2	1	0	1999	C	1	A-C	A-A	1823.1	I	1	
1a39	M	1	1	1	1999	C	-						
1a3b	M	1	1	0	1998	-	-						
1a3c	C2	2	1	0	1998	C	1	A-B	A-A	2024.3	I	1	
1a3d	C3	3	1	0	1998	C	6	"A-B,A-C,B-C"	"A-A,A-A,A-A"	"1135.7,1135.7,1135.7"	"H,H,H"	"1,1,1"	
1a3e	M	1	1	0	1998	-	-						
1a3f	C3	3	1	0	1998	C	6	"A-B,A-C,B-C"	"A-A,A-A,A-A"	"1171.9,1171.9,1171.9"	"H,H,H"	"1,1,1"	
1a3g	D3a	6	1	0	1998	C	9	"A-B,A-C,A-E,A-F,B-C,B-D,B-E,C-D,C-F,D-E,D-F,E-F"	"F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F"	"1230.2,1230.2,1016.6,5107.5,1230.2,1016.6,5107.5,5107.5,1016.6,1230.2,1230.2,1230.2"	"H,H,I,I,H,I,I,I,I,H,H,H"	"1,1,0,1,1,0,1,1,0,1,1,1"	
1a3h	M	1	1	0	1999	-	-						
1a3k	M	1	1	0	1998	C	-						
1a3l	M	2	2	0	1999	-	2	A-B	A-B	3604.1	T	1	
1a3n	C2	4	2	0	1998	-	3	"A-B,A-C,A-D,B-C,C-D"	"A-D,A-A,A-D,D-A,A-D"	"1670.8,574.6,1407.1,1407.1,1670.8"	"T,I,T,T,T"	"1,0,1,1,1"	
1a3o	C2	4	2	0	1998	-	3	"A-B,A-C,A-D,B-C,C-D"	"A-D,A-A,A-D,D-A,A-D"	"1665.3,582.6,1386.0,1386.0,1665.3"	"T,I,T,T,T"	"1,0,1,1,1"	
1a3r	M	2	2	0	1998	-	2	A-B	A-B	3582	T	1	
1a3s	M	1	1	0	1998	C	-						
1a3t	M	1	1	0	1998	C	-						
1a3u	M	1	1	0	1998	C	-						
1a3v	M	1	1	0	1998	C	-						
1a3w	D2	4	1	0	1998	C	4	"A-B,A-C,B-D,C-D"	"A-A,A-A,A-A,A-A"	"4599.9,2368.1,2368.1,4599.9"	"I,I,I,I"	"1,1,1,1"	
1a3x	D2	4	1	0	1998	C	4	"A-B,A-C,B-D,C-D"	"A-A,A-A,A-A,A-A"	"2155.4,5026.2,5026.2,2155.4"	"I,I,I,I"	"1,1,1,1"	
1a3z	M	1	1	0	1998	C	-						
1a40	M	1	1	0	1999	-	-						
1a41	M	1	1	1	1999	-	-						
1a42	M	1	1	0	1999	C	-						
1a43	C2	2	1	0	1999	-	1	A-B	A-A	1890.6	I	1	
1a44	M	1	1	1	1999	C	-						
1a45	C2	2	1	0	1998	-	1	A-B	A-A	1140.2	I	1	
1a46	M	1	1	0	1998	-	-						
1a47	M	1	1	0	1998	C	-						
1a48	M	1	1	0	1999	-	-						
1a49	D2	4	1	0	1999	-	4	"A-B,A-C,B-D,C-D"	"A-A,A-A,A-A,A-A"	"2663.6,5831.6,5831.6,2663.6"	"I,I,I,I"	"1,1,1,1"	
1a4a	M	1	1	0	1998	-	-						
1a4b	C2	2	1	0	1998	-	1	A-B	A-A	971.5	I	1	
1a4c	C2	2	1	0	1998	-	1	A-B	A-A	541.9	I	1	
1a4e	D2	4	1	1	1999	C	4	"A-B,A-C,A-D,B-C,B-D,C-D"	"A-A,A-A,A-A,A-A,A-A,A-A"	"9222.3,3922.6,8257.0,8257.0,3922.6,9222.3"	"I,I,I,I,I,I"	"1,0,1,1,0,1"	
1a4f	C2	4	2	0	1998	-	3	"A-B,A-C,A-D,B-C,B-D,C-D"	"A-D,A-A,A-D,D-A,D-D,A-D"	"1887.7,718.9,996.0,996.0,577.9,1887.7"	"T,I,T,T,I,T"	"1,0,1,1,0,1"	
1a4g	C4	4	1	0	1999	-	10	"A-B,A-D,B-C,C-D"	"A-A,A-A,A-A,A-A"	"3966.3,3966.3,3966.3,3966.3"	"H,H,H,H"	"1,1,1,1"	
1a4h	C2	2	1	0	1998	C	1	A-B	A-A	2277.9	I	1	
1a4i	C2	2	1	0	1999	-	1	A-B	A-A	2730.5	I	1	
1a4j	M	2	2	0	1998	-	2	A-B	A-B	3327.9	T	1	
1a4k	M	2	2	0	1998	-	2	A-B	A-B	3319.8	T	1	
1a4l	M	1	1	0	1998	-	-						
1a4m	M	1	1	0	1998	-	-						
1a4o	C2	2	1	0	1999	-	1	A-B	A-A	2028.3	I	1	
1a4q	C4	4	1	0	1999	-	10	"A-B,A-D,B-C,C-D"	"A-A,A-A,A-A,A-A"	"3973.2,3973.2,3973.2,3973.2"	"H,H,H,H"	"1,1,1,1"	
1a4r	C2	2	1	0	1999	E	1	A-B	A-A	1086.3	I	1	
1a4s	D2	4	1	1	1998	C	4	"A-B,A-C,A-D,B-C,B-D,C-D"	"A-A,A-A,A-A,A-A,A-A,A-A"	"6887.0,1964.5,2046.1,2046.1,1964.5,6887.0"	"I,I,I,I,I,I"	"1,0,1,1,0,1"	
1a4u	C2	2	1	0	1999	C	1	A-B	A-A	5167.3	I	1	
1a4v	M	1	1	0	1999	C	-						
1a4w	M	1	1	0	1998	-	-						
1a4x	C2	2	1	1	1998	C	1	A-B	A-A	1607.2	I	1	
1a4y	C2	4	2	1	1998	-	11	"A-B,A-C,C-D"	"A-D,A-A,A-D"	"2780.4,3491.4,2780.4"	"T,I,T"	"1,1,1"	
1a4z	D2	4	1	0	1998	C	4	"A-B,A-C,A-D,B-C,B-D,C-D"	"A-A,A-A,A-A,A-A,A-A,A-A"	"5606.4,2217.2,3064.3,3064.3,2217.2,5606.4"	"I,I,I,I,I,I"	"1,0,1,1,0,1"	
1a50	C2	4	2	0	1999	C	11	"A-B,B-D,C-D"	"A-D,D-D,A-D"	"2790.1,3398.6,2790.1"	"T,I,T"	"1,1,1"	
1a52	C2	2	1	0	1998	C	1	A-B	A-A	3150.2	I	1	
1a53	M	1	1	0	1999	-	-						
1a54	M	1	1	0	1998	-	-						
1a55	M	1	1	0	1998	-	-						
1a58	M	1	1	0	1998	C	-						
1a59	C2	2	1	1	1999	C	1	A-B	A-A	8552.8	I	1	
1a5a	C2	4	2	0	1998	C	11	"A-B,B-D,C-D"	"A-D,D-D,A-D"	"2635.1,3161.0,2635.1"	"T,I,T"	"1,1,1"	
1a5b	C2	4	2	0	1998	C	11	"A-B,B-D,C-D"	"A-D,D-D,A-D"	"2654.3,3301.5,2654.3"	"T,I,T"	"1,1,1"	
1a5c	D2	4	1	0	1998	-	4	"A-B,A-D,B-C,C-D"	"A-A,A-A,A-A,A-A"	"1879.4,1436.7,1436.7,1879.4"	"I,I,I,I"	"1,1,1,1"	
1a5d	M	1	1	0	1998	-	-						
1a5f	M	2	2	0	1999	-	2	A-B	A-B	3335.8	T	1	
1a5g	M	1	1	0	1998	-	-						
1a5i	M	1	1	0	1999	C	-						
1a5k	C3	9	3	0	1998	C	12	"A-B,A-C,A-D,A-F,A-G,B-C,B-F,C-F,C-G,C-H,C-I,D-E,D-F,D-G,D-I,E-F,E-I,F-I,G-H,G-I,H-I"	"A-E,A-F,A-A,A-F,A-A,E-F,E-F,F-F,F-A,F-E,F-F,A-E,A-F,A-A,A-F,E-F,E-F,F-F,A-E,A-F,E-F"	"309.9,1873.3,1347.6,3085.4,1347.6,3479.7,1753.6,4695.8,3085.4,1753.6,4695.8,309.9,1873.3,1347.6,3085.4,3479.7,1753.6,4695.8,309.9,1873.3,3479.7"	"T,T,H,T,H,T,T,H,T,T,H,T,T,H,T,T,T,H,T,T,T"	"0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1"	
1a5l	C3	9	3	0	1998	C	12	"A-B,A-C,A-D,A-F,A-G,B-C,B-F,C-F,C-G,C-H,C-I,D-E,D-F,D-G,D-I,E-F,E-I,F-I,G-H,G-I,H-I"	"A-E,A-F,A-A,A-F,A-A,E-F,E-F,F-F,F-A,F-E,F-F,A-E,A-F,A-A,A-F,E-F,E-F,F-F,A-E,A-F,E-F"	"306.0,1886.3,1349.6,2675.5,1349.6,3477.7,1371.8,4197.0,2675.5,1371.8,4197.0,306.0,1886.3,1349.6,2675.5,3477.7,1371.8,4197.0,306.0,1886.3,3477.7"	"T,T,H,T,H,T,T,H,T,T,H,T,T,H,T,T,T,H,T,T,T"	"0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1"	
1a5m	C3	9	3	0	1998	C	12	"A-B,A-C,A-D,A-F,A-G,B-C,B-F,C-F,C-G,C-H,C-I,D-E,D-F,D-G,D-I,E-F,E-I,F-I,G-H,G-I,H-I"	"A-E,A-F,A-A,A-F,A-A,E-F,E-F,F-F,F-A,F-E,F-F,A-E,A-F,A-A,A-F,E-F,E-F,F-F,A-E,A-F,E-F"	"313.9,1878.7,1340.4,3095.8,1340.4,3487.0,1758.5,4695.0,3095.8,1758.5,4695.0,313.9,1878.7,1340.4,3095.8,3487.0,1758.5,4695.0,313.9,1878.7,3487.0"	"T,T,H,T,H,T,T,H,T,T,H,T,T,H,T,T,T,H,T,T,T"	"0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1"	
1a5n	C3	9	3	0	1998	C	12	"A-B,A-C,A-D,A-F,A-G,B-C,B-F,C-F,C-G,C-H,C-I,D-E,D-F,D-G,D-I,E-F,E-I,F-I,G-H,G-I,H-I"	"A-E,A-F,A-A,A-F,A-A,E-F,E-F,F-F,F-A,F-E,F-F,A-E,A-F,A-A,A-F,E-F,E-F,F-F,A-E,A-F,E-F"	"307.3,1886.3,1349.8,3042.6,1349.8,3470.2,1552.8,4257.0,3042.6,1552.8,4257.0,307.3,1886.3,1349.8,3042.6,3470.2,1552.8,4257.0,307.3,1886.3,3470.2"	"T,T,H,T,H,T,T,H,T,T,H,T,T,H,T,T,T,H,T,T,T"	"0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1"	
1a5o	C3	9	3	0	1998	C	12	"A-B,A-C,A-D,A-F,A-G,B-C,B-F,C-F,C-G,C-H,C-I,D-E,D-F,D-G,D-I,E-F,E-I,F-I,G-H,G-I,H-I"	"A-E,A-F,A-A,A-F,A-A,E-F,E-F,F-F,F-A,F-E,F-F,A-E,A-F,A-A,A-F,E-F,E-F,F-F,A-E,A-F,E-F"	"306.0,1876.3,1351.7,3081.7,1351.7,3479.0,1746.8,4632.2,3081.7,1746.8,4632.2,306.0,1876.3,1351.7,3081.7,3479.0,1746.8,4632.2,306.0,1876.3,3479.0"	"T,T,H,T,H,T,T,H,T,T,H,T,T,H,T,T,T,H,T,T,T"	"0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1"	
1a5p	M	1	1	0	1998	C	-						
1a5q	M	1	1	0	1998	C	-						
1a5s	C2	4	2	0	1999	C	11	"A-B,B-D,C-D"	"A-D,D-D,A-D"	"2709.2,3263.9,2709.2"	"T,I,T"	"1,1,1"	
1a5t	C2	2	1	1	1998	-	1	A-B	A-A	1357.8	I	1	
1a5u	D2	4	1	0	1999	-	4	"A-B,A-C,B-D,C-D"	"A-A,A-A,A-A,A-A"	"2635.8,5819.1,5819.1,2635.8"	"I,I,I,I"	"1,1,1,1"	
1a5v	C2	2	1	0	1998	C	1	A-B	A-A	1560.8	I	1	
1a5w	C2	2	1	0	1998	C	1	A-B	A-A	1344	I	1	
1a5x	C2	2	1	0	1998	C	1	A-B	A-A	1632.2	I	1	
1a5y	M	1	1	0	1998	C	-						
1a5z	D2	4	1	1	1999	C	4	"A-B,A-C,A-D,B-C,B-D,C-D"	"A-A,A-A,A-A,A-A,A-A,A-A"	"3893.1,1381.6,232.9,232.9,1381.6,3893.1"	"I,I,I,I,I,I"	"1,1,0,0,1,1"	
1a61	M	1	1	0	1998	-	-						
1a62	M	1	1	1	1998	-	-						
1a64	C2	2	1	0	1998	C	1	A-B	A-A	7533.3	I	1	
1a65	M	1	1	1	1999	C	-						
1a68	C4	4	1	0	1998	C	10	"A-B,A-C,B-D,C-D"	"A-A,A-A,A-A,A-A"	"1407.2,1407.2,1407.2,1407.2"	"H,H,H,H"	"1,1,1,1"	
1a69	D3s	6	1	0	1998	C	8	"A-B,A-C,A-D,A-F,B-C,B-E,B-F,C-D,C-E,D-E,D-F,E-F"	"F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F"	"205.4,3289.9,3404.0,205.4,3404.0,3289.9,205.4,205.4,205.4,205.4,3289.9,3404.0"	"H,I,I,H,I,I,H,H,H,H,I,I"	"0,1,1,0,1,1,0,0,0,0,1,1"	
1a6a	M	2	2	0	1998	-	2	A-B	A-B	4598.4	T	1	
1a6d	D4a	16	2	1	1999	C	13	"A-B,A-F,A-I,B-F,B-G,B-H,B-N,C-D,C-H,C-K,D-E,D-F,D-H,D-P,E-F,E-O,F-J,G-H,G-M,H-L,I-J,I-N,J-N,J-O,J-P,K-L,K-P,L-M,L-N,L-P,M-N,O-P"	"K-F,K-F,K-K,F-F,F-K,F-F,F-F,K-F,K-F,K-K,F-K,F-F,F-F,F-F,K-F,K-K,F-F,K-F,K-K,F-F,K-F,K-F,F-F,F-K,F-F,K-F,K-F,F-K,F-F,F-F,K-F,K-F"	"4486.0,5224.8,1578.6,222.2,5224.8,222.2,994.7,4486.0,5224.8,1578.6,5224.8,222.2,222.2,994.7,4486.0,1578.6,994.7,4486.0,1578.6,994.7,4486.0,5224.8,222.2,5224.8,222.2,4486.0,5224.8,5224.8,222.2,222.2,4486.0,4486.0"	"T,T,I,H,T,H,I,T,T,I,T,H,H,I,T,I,I,T,I,I,T,T,H,T,H,T,T,T,H,H,T,T"	"1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1"	
